Name,lattitude,Temperature,Humidity,Cloudiness,Windspeed
Kodiak,39.95,281.63,75,20,3.1
Biltine,14.53,296.02,14,0,5.58
Atuona,-9.8,299.49,75,100,6.38
Alpena,45.06,276.66,69,75,5.7
Nouadhibou,20.93,298.15,36,0,6.2
Lagoa,37.14,290.07,82,40,2.6
Mataura,-46.19,283.15,84,50,4.47
Saint-Philippe,45.36,269.91,73,75,8.2
Ushuaia,-54.81,282.7,70,75,5.7
Dikson,73.51,251.57,95,71,8.93
Hithadhoo,-0.6,301.45,79,92,6.06
Vaini,15.34,293.01,85,100,2.76
Qaanaaq,77.48,253.97,64,93,3.55
Tecoanapa,16.99,302.15,54,5,1.5
Tuktoyaktuk,69.44,245.15,75,5,5.1
Fortuna,40.6,283.85,100,90,2.6
Punta Arenas,-53.16,286.03,62,75,7.2
Torbay,47.66,270.51,73,75,5.7
Pando,-34.72,302.81,23,20,7.7
Zabid,14.2,289.48,81,60,1.11
San Patricio,-26.98,307.12,25,11,1.7
Makakilo City,21.35,292.88,93,1,0.13
Ostrovnoy,68.05,272.39,98,100,6.86
Oranjemund,-28.55,291.37,81,83,4.13
Surgana,20.56,293.99,53,15,1.87
Hervey Bay,-25.3,295.58,88,0,3.1
Vila Velha,-3.71,302.69,52,40,5.7
Bethel,60.79,271.14,86,1,4.6
Poum,41.28,277.15,86,20,1.5
Andros Town,24.73,298.58,57,20,5.7
Dingle,11.0,296.66,91,13,5.47
Dzilam Gonzalez,21.28,297.64,73,0,2.16
Ponta do Sol,-20.63,299.46,69,94,2.86
Rafsanjan,30.4,285.01,51,15,4.78
Tasiilaq,65.61,269.15,73,83,2.6
Kamenka,48.03,272.04,89,66,2.07
Saint Anthony,43.97,274.72,96,90,7.2
Buchanan,5.88,303.15,79,75,3.1
Mocuba,-16.84,298.25,81,64,2.53
Hofn,64.25,272.15,58,20,10.3
Port Alfred,-33.59,292.04,73,94,2.68
Hobart,-42.88,285.54,62,94,4.1
Busselton,-33.64,284.06,47,0,4.8
